<|showerthought|>If you go to the gym and you’re not doing well, you’re not doing well<|endoftext|> 
<|showerthought|>When it comes to the amount of money that you have, you’ve probably never spent it all<|endoftext|> 
<|showerthought|>When you're a kid, you want to be an adult, but as an adult you want to be a kid.<|endoftext|> 
<|showerthought|>The only difference between being a professional athlete and a professional musician is that the latter is paid to play.<|endoftext|> 
<|showerthought|>A woman's body is a giant vacuum.<|endoftext|> 
<|showerthought|>There are no real rules about what is acceptable for a woman to wear.<|endoftext|> 
<|showerthought|>Most people will never have to worry about a lost wallet, but will have to pay for lost items.<|endoftext|> 
<|showerthought|>The only person who can be a good person is a good person<|endoftext|> 
<|showerthought|>The difference between a good and bad actor is how well they portray themselves in the movie.<|endoftext|> 
<|showerthought|>The first man to discover the concept of a penis was probably a psychopath.<|endoftext|> 
<|showerthought|>If you think about it, there's no reason why we can't have a "world wide web" where we all share information.<|endoftext|> 
<|showerthought|>Every human is an orphan, but not every human is a parent<|endoftext|> 
<|showerthought|>People with the same birthday have a birthday that's a little bit different than the person with the same birthday<|endoftext|> 
<|showerthought|>We’re all just the product of a series of mutations and mutations of genes<|endoftext|> 
<|showerthought|>Every piece of paper you’ve written has been in your mouth at least once.<|endoftext|> 
<|showerthought|>You are the only person in the world that has seen your face more than your family<|endoftext|> 
<|showerthought|>We are all living in a simulation of our life<|endoftext|> 
<|showerthought|>You know you’ve made it in life when you can’t remember the last time you’re in a movie.<|endoftext|> 
<|showerthought|>It seems that we have all had the same experience at least once in our life, yet we don't know what it is<|endoftext|> 
<|showerthought|>If there is an invisible person who has a camera, they will probably be able to see you in your dreams<|endoftext|> 
<|showerthought|>The person who created the first word “word” must have been very confused<|endoftext|> 
<|showerthought|>It's better to be a good person and not a bad person than a good person and a terrible person.<|endoftext|> 
<|showerthought|>Coffee is the only drink that is considered a drug<|endoftext|> 
<|showerthought|>The most effective way to get people to stop talking about you is not to talk about you at all.<|endoftext|> 
<|showerthought|>In the real world, if you are a celebrity and you have a child, you’re probably the youngest person in history.<|endoftext|> 
<|showerthought|>The more you know about a subject, the less you understand it<|endoftext|> 
<|showerthought|>If life is a simulation then we are living in the future.<|endoftext|> 
<|showerthought|>Cats and dogs probably have a similar level of trust and trustworthiness<|endoftext|> 
<|showerthought|>Since all the atoms that make up the earth are the same size as the universe, there is a possibility that the universe is actually infinite.<|endoftext|> 
<|showerthought|>When you buy a new pair of socks, you’re paying for the socks that you don’t wear.<|endoftext|> 
<|showerthought|>You can’t tell how old someone is by how old they look in their pictures.<|endoftext|> 
<|showerthought|>If you think you’re an expert at something, then you’re not an expert.<|endoftext|> 
<|showerthought|>If a woman has a child, it’s a child of her mother.<|endoftext|> 
<|showerthought|>It’s possible that the reason we don’t have a “good” or a “bad” smell is because we’re all just really bad at it.<|endoftext|> 
<|showerthought|>It’s not a good thing that we don’t know the exact number of people who died in the last 100 years.<|endoftext|> 
<|showerthought|>If you don't have a car and you're driving on a deserted road, you are technically a ghost.<|endoftext|> 
<|showerthought|>If your pet is a human, then your pet is a human.<|endoftext|> 
<|showerthought|>We’re all just a part of a larger universe<|endoftext|> 
<|showerthought|>A person with no arms is technically a walking stick figure<|endoftext|> 
<|showerthought|>Most people would have to be really good at their job to get away with not being a good employee.<|endoftext|> 
<|showerthought|>When you drink a cup of water you're drinking a cup of water<|endoftext|> 
<|showerthought|>If you’re a guy and you’re wearing pants with no pockets you’re a dude who likes to wear pants with pockets<|endoftext|> 
<|showerthought|>A person might have a good reason for being a jerk but they’re just a dick to everyone else<|endoftext|> 
<|showerthought|>If an AI is able to create a human-like AI, it would have to be very smart.<|endoftext|> 
<|showerthought|>People who are good at math and science are probably really good at the other two<|endoftext|> 
<|showerthought|>If you were to have an orgasm in a dream, it would feel like a real orgasm<|endoftext|> 
<|showerthought|>Your parents probably had to be really good at hiding the fact they were pregnant.<|endoftext|> 
<|showerthought|>In real life, you can never be the last person to leave your house<|endoftext|> 
<|showerthought|>In the near to distant future, we'll have to be careful not to use the word “cute” to describe a dog<|endoftext|> 
<|showerthought|>Your eyes have never seen the entirety of the universe<|endoftext|> 
<|showerthought|>A good amount of people probably think that the reason we don’t have a „real life” version of “Star Wars” is because we’d have to watch it every day.<|endoftext|> 
<|showerthought|>We don’t know what the future holds, we just know what we know.<|endoftext|> 
<|showerthought|>It’s possible that a person who is a good actor could have a really good acting career and not even know it.<|endoftext|> 
<|showerthought|>You can get a free meal for a day if you eat a lot.<|endoftext|> 
<|showerthought|>Most of us are the only people who have the ability to see the past, and most of us have no way of knowing what happened to the past<|endoftext|> 
<|showerthought|>You never see the top of your head, only the sides.<|endoftext|> 
<|showerthought|>In a future world where we have advanced AI, we will probably have a world where people are more concerned with the safety of the people they are with than the safety of the people they are with.<|endoftext|> 
<|showerthought|>If a movie is a movie about a movie, then a TV series is a TV series<|endoftext|> 
<|showerthought|>If there are infinite numbers, there is probably a number that is infinitely small.<|endoftext|> 
<|showerthought|>You know the world is fucked when your parents are the ones telling you that it is.<|endoftext|> 
<|showerthought|>There are more people who have been to the moon, than people who have been to the sun.<|endoftext|> 
<|showerthought|>If you live in the middle of the country, you are probably closer to the center than the edges.<|endoftext|> 
<|showerthought|>If someone dies from an accident, it’s a tragedy, but if someone dies from an overdose, it’s an overdose<|endoftext|> 
<|showerthought|>People probably won't be able to get a new car in a few years, but will be able to get new phones in the future.<|endoftext|> 
<|showerthought|>The number of people who have never seen their parents naked is probably higher than the number of people who have seen their grandparents naked<|endoftext|> 
<|showerthought|>No matter what, you’ll always be the last person to see your body.<|endoftext|> 
<|showerthought|>If it takes a lot of work to get a job, then it’s not a job, it’s a job to get paid.<|endoftext|> 
<|showerthought|>You probably have a friend that you don't see often, but you know them from a long time.<|endoftext|> 
<|showerthought|>If the earth is a giant ball, then the sun is a giant ball.<|endoftext|> 
<|showerthought|>Your brain will always be able to tell when you're dreaming<|endoftext|> 
<|showerthought|>We don’t know what the hell is in the sky, but if we could see it with our eyes, then it’s probably a bunch of rocks.<|endoftext|> 
<|showerthought|>You know you're getting older when you start seeing the same faces as your parents.<|endoftext|> 
<|showerthought|>If we knew the exact location of the center of our universe, we would never be able to see it<|endoftext|> 
<|showerthought|>The people in the world who don’t know how to read are probably not the ones who need to be taught<|endoftext|> 
<|showerthought|>Cinderella’s shoe is the only thing that’s made from real gold.<|endoftext|> 
<|showerthought|>The world is a better place when you don't need a reason to be happy.<|endoftext|> 
<|showerthought|>If there were a lot of people with the ability to see ghosts, there would be more paranormal activity.<|endoftext|> 
<|showerthought|>There are 2 types of people in the world: those that think that the world is flat, and those who think that it is round.<|endoftext|> 
<|showerthought|>The only thing worse than a bad haircut is a bad haircut.<|endoftext|> 
<|showerthought|>We only know the color of the light that comes from our eyes. We never see it. We only know what it is.<|endoftext|> 
<|showerthought|>In the future, the people who are the most likely to be the last people to die in their life are the ones with the least experience.<|endoftext|> 
<|showerthought|>A car is a vehicle with a seat for a driver and a seat for passengers<|endoftext|> 
<|showerthought|>People can't be trusted when they tell you to trust them.<|endoftext|> 
<|showerthought|>People don’t want to be alone in their thoughts. They want to be alone in their thoughts.<|endoftext|> 
<|showerthought|>When you're a kid and you want to play with a toy, but you're scared of what it might do to you if you try and touch it, you're probably just as scared as if you touched it yourself<|endoftext|> 
<|showerthought|>People would rather have their pets be happy than happy.<|endoftext|> 
<|showerthought|>When humans die, we will probably be the last to know what happened to the world.<|endoftext|> 
<|showerthought|>The only thing that is more annoying than a bad haircut is a bad haircut.<|endoftext|> 
<|showerthought|>If you are in an elevator, you can’t see your own face<|endoftext|> 
<|showerthought|>In a few hundred years, we will have to start naming our children after the first human born on Earth.<|endoftext|> 
<|showerthought|>The number of things that you can't see with your own eyes is the number of things that you can see with your own eyes<|endoftext|> 
<|showerthought|>A lot of people have never heard the word "bitch" before<|endoftext|> 
<|showerthought|>People will never be able to see the inside of their eyes, but they can see their eyelids.<|endoftext|> 
<|showerthought|>You never really know if you’re the last person on Earth, you just know it is<|endoftext|> 
<|showerthought|>Most people don't know how to read a sign.<|endoftext|> 
<|showerthought|>It is impossible to have an exact measurement for a circle.<|endoftext|> 
<|showerthought|>Every year, we pass the day we were born.<|endoftext|> 
<|showerthought|>The more you learn about the human body, the more it seems like it is a human.<|endoftext|> 
<|showerthought|>A lot of people are scared of heights but are probably more scared of falling than heights<|endoftext|> 
<|showerthought|>There are some people that are so good at their jobs that they are able to make a living off of it.<|endoftext|> 
<|showerthought|>You can't be the only person to have ever been in the same position.<|endoftext|> 
<|showerthought|>Every single human has a unique fingerprint.<|endoftext|> 
<|showerthought|>The word "dirt" is a lot dirtier than "dirt".<|endoftext|> 
<|showerthought|>The word ‘dick’ is actually a word<|endoftext|> 
<|showerthought|>People are afraid of being alone in the dark, but if you're alone in the dark, you're not alone.<|endoftext|> 
<|showerthought|>It's strange to think that the first humans to discover the universe were probably the same people who thought that they were going to die in the first place<|endoftext|> 
<|showerthought|>There’s probably a lot of people who are going to be surprised to see a new species of bird or mammal in their lifetime<|endoftext|> 
<|showerthought|>People who are born blind probably have a higher chance of being killed by lightning than people who have a higher chance of being hit by a car.<|endoftext|> 
<|showerthought|>If we ever get to a point where the earth is a giant ball, we’re going to have a lot of problems.<|endoftext|> 
<|showerthought|>If all the people in the world were to die at once, the world wouldn't be able to get back to normal.<|endoftext|> 
<|showerthought|>The fact that the word 'cringe' has become so common is a sign of the times.<|endoftext|> 
<|showerthought|>In a game of chess, the queen is the only one who has to be in a position to win<|endoftext|> 
<|showerthought|>The word "bitch" sounds more like "cunt" than "bitch"<|endoftext|> 
<|showerthought|>Doorbells are probably more common than we think.<|endoftext|> 
<|showerthought|>The person who invented the wheel was the one to invent the word "wheel".<|endoftext|> 
<|showerthought|>Some of your best memories are from your childhood.<|endoftext|> 
<|showerthought|>The most dangerous thing in the world isn't a person or a weapon, it's the people who can use them to their full extent.<|endoftext|> 
<|showerthought|>If you had to guess what a person's favorite color is, you'd have to guess between red and blue.<|endoftext|> 
<|showerthought|>The fact that you are not able to see your face is the same as being blind in the eyes.<|endoftext|> 
<|showerthought|>It is easier to be a good person than to be a good person.<|endoftext|> 
<|showerthought|>The fact that we can’t get a better picture of the universe than a single pixel of it is a testament to the power of the brain.<|endoftext|> 
<|showerthought|>It’s a good thing we don’t have a word for ‘sucking’.<|endoftext|> 
<|showerthought|>We’ve been living in the same world for so long, that we’ve forgotten that it’s not a world we live in<|endoftext|> 
<|showerthought|>In the movie The Truman Show, the Truman is the only character who has to deal with a lot of people.<|endoftext|> 
<|showerthought|>We’re all just a bunch of cells in a giant organism.<|endoftext|> 
<|showerthought|>People are very good at saying “I am a good person” but not at saying “I am a bad person”<|endoftext|> 
<|showerthought|>If you are in a room with a bunch of strangers and one of them has a gun and the other one is wearing gloves, you have the same odds of getting shot as if you had the gun in the room with them.<|endoftext|> 
<|showerthought|>It is the most common thing for people who have a lot of money to be poor<|endoftext|> 
<|showerthought|>A lot of people don’t realize how much of a pain it is to be a parent.<|endoftext|> 
<|showerthought|>We have a lot of people who have never seen the inside of a human body, but have a lot of people who have seen the inside of a human body.<|endoftext|> 
<|showerthought|>The only reason you have a car is because you need it.<|endoftext|> 
<|showerthought|>Dogs must think we’re crazy to have to walk on all fours<|endoftext|> 
<|showerthought|>Saying "I'm sorry" is a polite way of saying "I'm sorry, but I can't do anything about that."<|endoftext|> 
<|showerthought|>When you see someone in the background of a photo, it’s probably not the person you’ve been looking for.<|endoftext|> 
<|showerthought|>The difference between a person who has a good memory and someone who doesn't is the amount of information you can remember.<|endoftext|> 
<|showerthought|>Saying it's a good thing that we don't have to worry about getting a tattoo on our arms or legs is probably the least helpful thing we can do to reduce the amount of tattoos on our bodies.<|endoftext|> 
<|showerthought|>The people complaining about how they are being "forced" to buy things are the same people who are buying things that don't have any value.<|endoftext|> 
<|showerthought|>Somewhere in history there was a guy that was the only one who was able to get a girl pregnant.<|endoftext|> 
<|showerthought|>When you're young, it's easy to be a good person and be a bad person, when you're old you're easy to be a good person and be a bad person.<|endoftext|> 
<|showerthought|>The fact that you are not a virgin is a sign that you are a virgin<|endoftext|> 
<|showerthought|>In movies, when a character dies, the camera pans back and forth to show that it’s the last thing they’ve seen.<|endoftext|> 
<|showerthought|>You have been in a room with a dead body for a while and you still don't understand what happened.<|endoftext|> 
<|showerthought|>You’re probably the only person who’s never seen a full-size picture of you<|endoftext|> 
<|showerthought|>No matter what the world looks like, it’s always a little bit better when you have a good memory<|endoftext|> 
<|showerthought|>A big portion of people's favorite food is probably a combination of ingredients they've never had before, but it's the combination of ingredients that they've never tried before that makes that food their favorite.<|endoftext|> 
<|showerthought|>The average person has never seen a human being that looked like a human being. The average person has never seen a human being with a different skin tone.<|endoftext|> 
<|showerthought|>The world is a lot better when the world is not the way it is.<|endoftext|> 
<|showerthought|>You don’t know if your parents are the only ones that have seen you naked.<|endoftext|> 
<|showerthought|>There is probably a lot of people that have never seen a dog in their life.<|endoftext|> 
<|showerthought|>Saying "it's raining men" is the same thing as saying "it's raining women"<|endoftext|> 
<|showerthought|>People that wear glasses are technically wearing glasses<|endoftext|> 
<|showerthought|>If a lot of people have the same birthday as you, you are probably a relative.<|endoftext|> 
<|showerthought|>People that have a good sense of humor don’t have a bad sense of humor.<|endoftext|> 
<|showerthought|>If you are in a coma, you are in a coma for life.<|endoftext|> 
<|showerthought|>If you’re in a car with a person who’s a good driver but not a good driver, you can be a good driver and still be bad at driving.<|endoftext|> 
<|showerthought|>It's probably a good thing the average person doesn't have a penis<|endoftext|> 
<|showerthought|>Most people are more concerned with how they look than how they act<|endoftext|> 
<|showerthought|>Saying 'I'm sorry' to someone is a form of apology.<|endoftext|> 
<|showerthought|>The person who invented the wheel probably didn't have any idea how it worked.<|endoftext|> 
<|showerthought|>The older the person is, the more they realize how much they don’t know.<|endoftext|> 
<|showerthought|>You can be a good person, but you can't be good at being yourself<|endoftext|> 
<|showerthought|>People don't like the sound of their voice but love the sound of their body.<|endoftext|> 
<|showerthought|>You never really see a car with a manual transmission.<|endoftext|> 
<|showerthought|>When you’re young and you’re a kid, you’re a kid, but as you grow older, you’re a grown up.<|endoftext|> 
<|showerthought|>We all have a favorite color, but we don’t know what it is.<|endoftext|> 
<|showerthought|>The reason why we are not able to hear the voice in our head is because our brain can't hear it<|endoftext|> 
<|showerthought|>A lot of people have probably had a conversation with their parents about how their parents have a better life than them.<|endoftext|> 
<|showerthought|>A lot of the people you meet online are probably dead<|endoftext|> 
<|showerthought|>Since we think of ourselves as being the main characters of a story, we are the main characters of the story.<|endoftext|> 
<|showerthought|>Every second someone dies, there’s a moment where you are the youngest person in the world.<|endoftext|> 
<|showerthought|>We live in a society where people who are born blind have to be told that they are blind<|endoftext|> 
<|showerthought|>There will come a time when we won’t have to worry about the weather. We just have to worry about what’s in the air.<|endoftext|> 
<|showerthought|>You never really know if you're going to be the last person to see your favorite celebrity.<|endoftext|> 
<|showerthought|>You don’t know what the last word in a sentence sounds like until you hear it.<|endoftext|> 
<|showerthought|>When you’re a kid, you don’t want to be a parent. When you’re an adult, you do want to be a parent.<|endoftext|> 
<|showerthought|>The more people that know the truth about a topic the less people that know about that subject<|endoftext|> 
<|showerthought|>People who are afraid of the dark, are probably the most afraid of the light.<|endoftext|> 
<|showerthought|>If the word ‘bitch’ is used in a sexual context, it's a ‘bastard’<|endoftext|> 
<|showerthought|>If we could see the future, we would see it in the present, and the past, but the present is the past.<|endoftext|> 
<|showerthought|>You are always looking for a new way to die.<|endoftext|> 
<|showerthought|>If you’re a guy and your partner is a woman, you’re technically having sex with both of their parents<|endoftext|> 
<|showerthought|>People are scared to go out of their way to help someone in need, because they don’t think they’ll ever be able to do it themselves.<|endoftext|> 
<|showerthought|>There is nothing more frustrating than having to watch a video on your phone and having to scroll down to watch the video again.<|endoftext|> 
<|showerthought|>Cats love their owners so much because they know that they are the only ones that can see their faces and hear them, so they can be happy and content.<|endoftext|> 
<|showerthought|>All cars in movies have a manual gearbox.<|endoftext|> 
<|showerthought|>The reason why people don't like the idea of having a dog is because they’d be forced to have a dog. They’d have to have a dog to live, and they would have to live with the consequences of their dog's actions.<|endoftext|> 
<|showerthought|>It's very easy to get caught in a web of lies and lies and lies<|endoftext|> 
<|showerthought|>Every car is a car if you drive hard enough.<|endoftext|> 
<|showerthought|>A lot of people are probably going to get a lot more sleep tonight than yesterday<|endoftext|> 
<|showerthought|>If the Earth were a giant, it’s probably not possible for us to see it with our own eyes<|endoftext|> 
<|showerthought|>When you’re in a car with your friends, you’re in the same car.<|endoftext|> 
<|showerthought|>If you have an erection and it hurts, it’s probably because your penis has been in your mouth.<|endoftext|> 
<|showerthought|>It’s not the size of the penis that matters, but how big it is.<|endoftext|> 
<|showerthought|>There is probably a lot of people who don’t have a single thought in their head, yet they are the only ones who can’t stop talking.<|endoftext|> 
<|showerthought|>When your parents are having sex you're technically getting a blowjob.<|endoftext|> 
<|showerthought|>Your body has been in the water for thousands of years and you have no idea<|endoftext|> 
<|showerthought|>If you're a woman and you're pregnant you’re technically having sex with a dead body.<|endoftext|> 
<|showerthought|>People who are afraid of the dark probably don’t have a problem with the light.<|endoftext|> 
<|showerthought|>People who live in the suburbs probably have the most expensive houses<|endoftext|> 
<|showerthought|>If your brain can’t comprehend a concept, it’s not your brain, it’s your mind.<|endoftext|> 
<|showerthought|>Dogs are the only animals who have to be taught how to walk on two legs<|endoftext|> 
<|showerthought|>Saying “I’d rather die than live like this” is the same as saying “I'd rather die than live like this”.<|endoftext|> 
<|showerthought|>If something doesn't exist, then you don't have a reason to exist<|endoftext|> 
<|showerthought|>Most people will never see a single person in their entire life.<|endoftext|> 
<|showerthought|>Your phone probably has a built in camera, and if you're in a dark room, you could be looking at a photo of yourself.<|endoftext|> 
<|showerthought|>All you’ll ever see are people in the background of photos.<|endoftext|> 
<|showerthought|>In a few years, there’ll probably be a lot of people in the world who have never seen a dog.<|endoftext|> 
<|showerthought|>Your body is the only organ you’re allowed to eat without getting an STD.<|endoftext|> 
<|showerthought|>Every single person on Earth is a part of the same family tree, and the same family tree can be traced back to a single person.<|endoftext|> 
<|showerthought|>Your body has a built-in alarm clock.<|endoftext|> 
<|showerthought|>It’s a good thing the average person has a better understanding of the world than most of their friends and family<|endoftext|> 
<|showerthought|>The world’s biggest and most expensive car is a car that’s been in a car shop since the 90s.<|endoftext|> 
<|showerthought|>You don't have to be a genius in any field of study to be an expert in that field<|endoftext|> 
<|showerthought|>A person who is in love with you is a true lover. A person who is in love with the opposite sex is a false lover.<|endoftext|> 
<|showerthought|>The reason why we are so afraid of the dark is because we have no idea where the light is.<|endoftext|> 
<|showerthought|>The most interesting thing about life is how it is made.<|endoftext|> 
<|showerthought|>Your brain knows exactly what it's like to be a zombie<|endoftext|> 
<|showerthought|>We are the only species that can’t be taught to do something.<|endoftext|> 
<|showerthought|>The person who invented the wheel was probably a psychopath<|endoftext|> 
<|showerthought|>You have a better chance of getting a free meal at a drive thru if you are a woman<|endoftext|> 
<|showerthought|>If humans had a sense of smell, we would probably be able to tell when someone is having a really good night’s sleep.<|endoftext|> 
<|showerthought|>Someday we'll have to replace the word "someday" with something that's not a "someday".<|endoftext|> 
<|showerthought|>Cave men are probably the most intelligent creatures on Earth.<|endoftext|> 
<|showerthought|>Crazy how the only thing that makes you feel alive is your body<|endoftext|> 
<|showerthought|>The reason why we can’t see the inside of our eyelids is because our eyes are closed<|endoftext|> 
<|showerthought|>If you put a bunch of people in a room and tell them that you're going to be there for a few hours, they will probably be more willing to stay there longer than if you just told them to go to their rooms and leave them alone<|endoftext|> 
<|showerthought|>You never stop being a kid. You just become an adult<|endoftext|> 
<|showerthought|>When you look in a mirror, you are looking at your reflection in your own eyes.<|endoftext|> 
<|showerthought|>You'll never be able to prove that you're immortal.<|endoftext|> 
<|showerthought|>Your car keys can be your keys to your car.<|endoftext|> 
<|showerthought|>Since a lot of people have a fear of heights, there must be a lot of people with a fear of falling<|endoftext|> 
<|showerthought|>If they ever make a movie based on the life of a famous person, it will be the most expensive movie ever made.<|endoftext|> 
<|showerthought|>It's more likely to be killed by lightning than a car.<|endoftext|> 
<|showerthought|>If you are the only human in the world, you are the most important person in the world.<|endoftext|> 
<|showerthought|>If you can’t get a girlfriend because you’re too ugly, then you’re not ugly<|endoftext|> 
<|showerthought|>The difference between a good and a great person is whether or not you can be trusted.<|endoftext|> 
<|showerthought|>A lot of people are scared of being alone, but not scared of being alone.<|endoftext|> 
<|showerthought|>The only reason why we have the word “the” in the plural is because of “the people”<|endoftext|> 
<|showerthought|>In the last year, the number of people older than you has increased by more than the number of people younger than you.<|endoftext|> 
<|showerthought|>If you can't get a job, you can't afford to live.<|endoftext|> 
<|showerthought|>If you live in a small town, you probably have a lot of neighbors who are also living in a small town.<|endoftext|> 
<|showerthought|>There are no real rules to the game ‘the game’. You just have to play it and you'll know what rules you have to follow.<|endoftext|> 
<|showerthought|>Since a person's age is the age they are when they were born, the average human is older than the average person in their lifetime.<|endoftext|> 
<|showerthought|>There’s a chance that someone in your family has had a crush on you but you’ve never told them because they’re too embarrassed to tell anyone.<|endoftext|> 
<|showerthought|>Cigarettes are the only products that have a expiration date.<|endoftext|> 
<|showerthought|>You can never truly be a good liar, because the truth is never a lie.<|endoftext|> 
<|showerthought|>If a kid has a birthday party and they don’t get a birthday present, they’re just being lazy<|endoftext|> 
<|showerthought|>The human race has a monopoly on the ability to be a human.<|endoftext|> 
<|showerthought|>The most powerful thing in the universe is the fact that it's not a thing, and we don't know it.<|endoftext|> 
<|showerthought|>It is a good thing the human body is so flexible that it can be stretched and stretched and stretched and stretched<|endoftext|> 
<|showerthought|>Some people's favorite color is black, and some people's favorite food is black<|endoftext|> 
<|showerthought|>If a dog is a dog, then a cat is a cat.<|endoftext|> 
<|showerthought|>It’s possible that you’ve never been in a room with a dead person<|endoftext|> 
<|showerthought|>All the bad guys in movies have a gun<|endoftext|> 
<|showerthought|>There are likely a lot of people who have been in a car accident that were in the car with the person they died.<|endoftext|> 
<|showerthought|>Somebody is probably going through the same shit as you and they don't even know it.<|endoftext|> 
<|showerthought|>If everyone in the world had a perfect memory, then we wouldn't have to remember what we did when we weren't in a dream<|endoftext|> 
<|showerthought|>It's strange how we have to pay for a car to drive us to work but not to drive us to school<|endoftext|> 
<|showerthought|>There’s probably a lot of people that have seen their favorite actors in their dreams and have never seen them again.<|endoftext|> 
<|showerthought|>It doesn't matter if you're a man or a woman. If you're a man, you're a man.<|endoftext|> 
<|showerthought|>If you live in the middle of nowhere and you have a car, you’re a car salesman, if you live in a small town and you have no car, you’re a car dealer<|endoftext|> 
<|showerthought|>A person who has a bad breath probably has a good breath<|endoftext|> 
<|showerthought|>It’s not a coincidence that we’re all born with the same number of fingers, toes and toes.<|endoftext|> 
<|showerthought|>You don't know how much you know. You just know enough to know that you know.<|endoftext|> 
<|showerthought|>The only difference between a person and a dog is that the dog is a human<|endoftext|> 
<|showerthought|>The people on the internet are the only people who can tell you what they think about you<|endoftext|> 
<|showerthought|>The reason we don't have to worry about the weather is because we don't have to be worried about it.<|endoftext|> 
<|showerthought|>You can't be sure that you're not dreaming.<|endoftext|> 
<|showerthought|>Your belly button is a mouth<|endoftext|> 
<|showerthought|>If a person is a virgin they can have sex but if a person is gay then it is not possible<|endoftext|> 
<|showerthought|>It's likely that the reason why we don't have the ability to fly is because we're all just flying in the air<|endoftext|> 
<|showerthought|>Some people get so angry at the fact that their parents have a child, that they start to hate the parents even more, even though they’re the ones that are the cause of it.<|endoftext|> 
<|showerthought|>If you live in a city, you're probably more likely to be killed by a car than a person.<|endoftext|> 
<|showerthought|>You can tell how well someone knows something by how they react when you ask them a question<|endoftext|> 
<|showerthought|>There's no such thing as a bad smell<|endoftext|> 
<|showerthought|>Since no humans have ever lived without the ability to see, we are all blind.<|endoftext|> 
<|showerthought|>No one wants to go to the gym, but everyone wants to go to the gym to go to the gym.<|endoftext|> 
<|showerthought|>People will never see a real life version of a cartoon character.<|endoftext|> 
<|showerthought|>If you live alone you’re technically a homeless person.<|endoftext|> 
<|showerthought|>Most people don’t know what they look like.<|endoftext|> 
<|showerthought|>The most common way to tell if someone is a good liar is if they tell you the truth.<|endoftext|> 
<|showerthought|>The more you think about the amount of people who have died in your lifetime, the less you think about how many people died before you.<|endoftext|> 
<|showerthought|>If you’re in a room full of people, and you hear a noise in a different room, it’s likely someone’s in that room.<|endoftext|> 
<|showerthought|>The average adult is probably more than twice as old than the average child.<|endoftext|> 
<|showerthought|>If you think you are the smartest, you are probably the smartest person in your school, but if you think you are the dumbest, you are probably the dumbest person in your school<|endoftext|> 
<|showerthought|>Some people hate their own reflection, but they don't hate the reflection of others.<|endoftext|> 
<|showerthought|>You never actually know how long you've been in the shower, you just know how long it’ll take to get out<|endoftext|> 
<|showerthought|>The most successful people are the people that don't know how to do anything.<|endoftext|> 
<|showerthought|>People are more likely to be surprised by a surprise birthday party when they are not invited<|endoftext|> 
<|showerthought|>The first guy that invented a new type of medicine probably had a really bad case of the flu.<|endoftext|> 
<|showerthought|>In some games, if you die, you can't respawn.<|endoftext|> 
<|showerthought|>If a person has a crush, they’re probably just jealous of how much they like someone<|endoftext|> 
<|showerthought|>You will never be able to see the inside of your own eyes.<|endoftext|> 
<|showerthought|>Most of your friends are probably in the military<|endoftext|> 
<|showerthought|>It is a good thing that the sun never gets too bright.<|endoftext|> 
<|showerthought|>We all know that there is a chance that you have been in the background of a photo or video, but we don't know if it is the person who took that photo or video or the person who took it.<|endoftext|> 
<|showerthought|>It’s possible that the reason why the world is so fucked up is that the human species is a bunch of robots.<|endoftext|> 
<|showerthought|>We probably have a lot of people in our lives that we never met.<|endoftext|> 
<|showerthought|>People who hate on people who don't have a lot of friends probably have a lot of friends.<|endoftext|> 
<|showerthought|>It is possible for a person to be born with a perfect memory, but it is impossible to remember the exact moment you were born<|endoftext|> 
<|showerthought|>When a car gets stuck in the middle of nowhere, the car is technically in a car crash<|endoftext|> 
<|showerthought|>People will probably be more likely to believe that the earth is flat when it’s actually round<|endoftext|> 
<|showerthought|>When we’re young, we’re told to not be a burden to others, but when we’re older, we’re told to be a burden to ourselves.<|endoftext|> 
<|showerthought|>We’ve probably never heard the last song from a movie.<|endoftext|> 
<|showerthought|>If a character in a show/movie is in a coma, they are technically in a dream.<|endoftext|> 
<|showerthought|>Your parents are your parents' parents.<|endoftext|> 
<|showerthought|>A dog and a human have the same number of legs<|endoftext|> 
<|showerthought|>We’re all living in the past.<|endoftext|> 
<|showerthought|>If you can't get enough of something then you're a hypocrite. If you're too lazy to get it, then you're a hypocrite.<|endoftext|> 
<|showerthought|>The biggest difference between a man and a woman is that women are more likely to get pregnant from a man.<|endoftext|> 
<|showerthought|>It’s a shame that the only way to know if someone’s a psychopath is to watch them kill people<|endoftext|> 
<|showerthought|>You can’t really tell if someone’s a good liar.<|endoftext|> 
<|showerthought|>If you’re a woman and you’re in a car, you’re in a car for the rest of your life. If you’re a woman and you’re in an elevator, you’re in a car for the rest of your lifetime.<|endoftext|> 
<|showerthought|>We live life as if we were born with the ability to fly and can't be controlled.<|endoftext|> 
<|showerthought|>All of the people who have been born on the day of the moon will be dead.<|endoftext|> 
<|showerthought|>All humans have a different set of bones, but the ones we use to eat and drink are the same bones<|endoftext|> 
<|showerthought|>The word "cute" has become so much more cute than cute<|endoftext|> 
<|showerthought|>A car that has a manual transmission and a manual transmission is a manual transmission<|endoftext|> 
<|showerthought|>The reason why the average human is a little bit fat is because the average human is the same height as the average human<|endoftext|> 
<|showerthought|>When you think about the fact that the average human has less than 2 arms and legs, you realize that humans are not the most powerful species on Earth.<|endoftext|> 
<|showerthought|>You’ve probably seen a lot of people who’re in their 30s and 40s, but you’ve probably never seen them in their 20s.<|endoftext|> 
